card_name,nf_qty,f_qty,is_bulk
custodian of the trove,NA,NA,TRUE
cutthroat maneuver,NA,NA,TRUE
cyclone sire,NA,NA,TRUE
cyclonic rift,2,NA,NA
cyclops of eternal fury,6,NA,NA
cyclops of one-eyed pass,NA,NA,TRUE
cyclops tyrant,NA,NA,TRUE
daggerdrome imp,NA,NA,TRUE
dakmor bat,NA,NA,TRUE
dakra mystic,2,NA,NA
damnable pact,1,NA,NA
dampen thought,1,NA,NA
dampening pulse,4,NA,NA
damping matrix,1,NA,NA
dance of the skywise,NA,NA,TRUE
dance with devils,1,NA,NA
dandan,NA,NA,TRUE
dangerous wager,1,NA,NA
daring apprentice,1,NA,NA
daring skyjek,3,NA,NA
daring sleuth,1,NA,NA
daring thief,2,NA,NA
dark banishing,2,NA,NA
dark betrayal,4,NA,NA
dark dabbling,3,NA,NA
dark deal,2,NA,NA
dark favor,NA,NA,TRUE
dark heart of the wood,1,NA,NA
dark maze,NA,NA,TRUE
dark petition,2,NA,NA
dark revenant,NA,NA,TRUE
dark ritual,1,NA,NA
darksteel citadel,0,NA,NA
darksteel ingot,2,NA,NA
darksteel pendant,1,NA,NA
darksteel plate,0,NA,NA
daru lancer,NA,NA,TRUE
daru mender,NA,NA,TRUE
daru sanctifier,NA,NA,TRUE
dauntless cathar,1,NA,TRUE
dauntless onslaught,NA,NA,TRUE
dauntless river marshal,NA,NA,TRUE
dawn to dusk,4,NA,NA
dawnbringer charioteers,2,NA,NA
dawnfeather eagle,NA,NA,TRUE
dawnstrike paladin,NA,NA,TRUE
dawntreader elk,2,NA,NA
daxos of meletis,1,NA,NA
day of the dragons,1,NA,NA
day's undoing,4,NA,NA
dazzling ramparts,NA,NA,TRUE
dead drop,0,NA,NA
dead reckoning,1,NA,NA
dead reveler,3,NA,NA
dead weight,NA,NA,TRUE
deadbridge goliath,1,NA,NA
deadbridge shaman,NA,NA,TRUE
deadeye navigator,1,NA,NA
deadlock trap,0,NA,NA
deadly allure,2,NA,NA
deadly recluse,4,NA,NA
deadly wanderings,1,NA,NA
deadshot minotaur,NA,NA,TRUE
death denied,1,NA,NA
death frenzy,1,NA,NA
death grasp,1,NA,NA
death pit offering,1,NA,NA
death wind,1,NA,NA
deathbellow raider,NA,1,TRUE
deathbringer thoctar,1,NA,NA
deathcult rogue,4,NA,NA
deathgaze cockatrice,NA,NA,TRUE
deathgazer,NA,NA,TRUE
deathgrip,1,NA,NA
deathless behemoth,3,NA,NA
deathmist raptor,1,NA,NA
deathpact angel,1,NA,NA
death's caress,4,NA,NA
death's duet,1,NA,NA
death's-head buzzard,NA,NA,TRUE
debilitating injury,NA,NA,TRUE
debt to the deathless,4,NA,NA
debtor's pulpit,NA,NA,TRUE
decimate,2,NA,NA
decimator web,1,NA,NA
declaration in stone,1,NA,NA
decommission,1,NA,NA
decorated griffin,NA,NA,TRUE
decree of justice,1,NA,NA
decree of pain,0,NA,NA
deep analysis,1,NA,NA
deepfathom skulker,1,NA,NA
deep-sea kraken,2,NA,NA
deep-sea terror,NA,NA,TRUE
deepwater hypnotist,NA,NA,TRUE
deepwood drummer,NA,NA,TRUE
deepwood ghoul,NA,NA,TRUE
defang,1,NA,NA
defeat,NA,NA,TRUE
defend the hearth,4,NA,NA
defender en-vec,NA,NA,TRUE
defender of chaos,NA,NA,TRUE
defensive maneuvers,NA,NA,TRUE
defiant elf,1,NA,NA
defiant ogre,4,NA,NA
defiant salvager,NA,NA,TRUE
defiant strike,0,NA,NA
deflecting palm,1,NA,NA
deflection,1,NA,NA
deftblade elite,NA,NA,TRUE
dehydration,NA,NA,TRUE
deicide,2,NA,NA
delver of secrets,3,NA,NA
demigod of revenge,1,NA,NA
demolish,5,NA,NA
demonlord of ashmouth,1,NA,NA
demon's grasp,NA,NA,TRUE
demystify,1,NA,NA
den protector,1,NA,NA
deny existence,3,NA,NA
deputy of acquittals,4,NA,NA
deranged assistant,1,NA,NA
deranged outcast,1,NA,NA
descend upon the sinful,1,NA,NA
descendants' path,1,NA,NA
desecration plague,4,NA,NA
desert cerodon,NA,NA,TRUE
desert twister,1,NA,NA
desolation twin,2,NA,NA
desperate ravings,2,NA,NA
desperate ritual,2,NA,NA
desperate stand,4,NA,NA
despise,2,NA,NA
despoiler of souls,NA,1,NA
destroy the evidence,4,NA,NA
destructive revelry,2,NA,NA
destructor dragon,1,NA,NA
detention sphere,1,NA,NA
detonate,NA,NA,TRUE
deus of calamity,1,NA,NA
devastation tide,1,NA,NA
deviant glee,4,NA,NA
devil's play,1,NA,NA
devils' playground,1,NA,NA
devilthorn fox,NA,NA,TRUE
devouring greed,1,NA,NA
devouring light,3,NA,NA
dictate of erebos,2,NA,NA
dictate of heliod,2,NA,NA
dictate of karametra,1,1,NA
dictate of kruphix,3,NA,NA
dictate of the twin gods,4,NA,NA
diffusion sliver,2,1,NA
diminishing returns,2,NA,NA
dimir aqueduct,2,NA,NA
dimir charm,2,NA,NA
dimir cluestone,5,NA,NA
dimir guildgate,11,NA,NA
dimir guildmage,1,NA,NA
dimir infiltrator,1,NA,NA
dimir keyrune,2,NA,NA
dimir signet,2,NA,NA
din of the fireherd,1,NA,NA
dinrova horror,1,NA,NA
diplomatic immunity,1,NA,NA
dire undercurrents,1,NA,NA
diregraf captain,1,NA,NA
dirge of dread,1,NA,NA
dirgur nemesis,NA,NA,TRUE
disallow,0,NA,NA
disciple of deceit,4,NA,NA
disciple of griselbrand,1,NA,NA
disciple of law,NA,NA,TRUE
disciple of phenax,4,NA,NA
disciple of the old ways,NA,NA,TRUE
discombobulate,1,NA,NA
disdainful stroke,3,1,NA
disenchant,1,NA,NA
disentomb,2,NA,NA
dismal backwater,7,NA,NA
dismantling blow,1,NA,NA
dismiss,2,NA,NA
dismiss into dream,1,NA,NA
disowned ancestor,3,NA,NA
dispel,0,NA,NA
dispersal technician,1,NA,NA
disperse,5,NA,NA
display of dominance,NA,NA,TRUE
disruptive pitmage,1,NA,NA
dissension in the ranks,NA,NA,TRUE
dissipate,4,NA,NA
dissolve,2,NA,NA
distorting wake,2,NA,NA
divergent growth,NA,NA,TRUE
divination,3,NA,NA
divine favor,4,NA,NA
divine presence,1,NA,NA
divine verdict,4,NA,NA
diviner spirit,2,NA,NA
diving griffin,NA,NA,TRUE
djinn illuminatus,1,NA,NA
djinn of infinite deceits,1,NA,NA
domestication,1,NA,NA
dominator drone,NA,NA,TRUE
domineering will,2,NA,NA
dominus of fealty,1,NA,NA
donate,1,NA,NA
doom blade,0,NA,NA
doomed dissenter,NA,NA,TRUE
doomed traveler,4,NA,NA
doomwake giant,2,NA,NA
door to nothingness,2,NA,NA
doorkeeper,2,NA,NA
dosan the falling leaf,1,NA,NA
douse in gloom,NA,NA,TRUE
dovescape,1,NA,NA
down // dirty,NA,NA,TRUE
downhill charge,1,NA,NA
downpour,NA,NA,TRUE
downsize,NA,NA,TRUE
dowsing shaman,1,NA,NA
draconic roar,2,NA,NA
drag under,1,NA,NA
dragon bell monk,5,NA,NA
dragon breath,1,NA,NA
dragon egg,2,NA,NA
dragon fangs,1,NA,NA
dragon fodder,8,NA,NA
dragon grip,3,NA,NA
dragon hatchling,4,NA,NA
dragon hunter,1,NA,NA
dragon mantle,2,NA,NA
dragon scales,1,NA,NA
dragon throne of tarkir,1,NA,NA
dragonloft idol,NA,NA,TRUE
dragonlord atarka,1,NA,NA
dragonlord dromoka,1,NA,NA
dragonlord kolaghan,1,NA,NA
dragonlord ojutai,1,NA,NA
dragonlord silumgar,1,NA,NA
dragonlord's prerogative,1,NA,NA
dragonlord's servant,5,NA,NA
dragonrage,1,NA,NA
dragon's claw,1,NA,NA
dragon's eye savants,3,NA,NA
dragon's eye sentry,NA,NA,TRUE
dragonscale boon,4,NA,NA
dragonscale general,1,NA,NA
dragon-scarred bear,NA,NA,TRUE
dragonshift,4,NA,NA
dragonstalker,NA,NA,TRUE
drain life,1,NA,NA
drainpipe vermin,4,NA,NA
drakewing krasis,4,NA,NA
dralnu's crusade,1,NA,NA
dramatic entrance,1,NA,NA
dramatic rescue,3,NA,NA
dramatic reversal,1,1,NA
drana's emissary,2,NA,NA
dread defiler,NA,1,NA
dreadbore,1,NA,NA
dreadbringer lampads,NA,NA,TRUE
dreadwaters,3,1,NA
dream fracture,2,NA,NA
dream twist,1,NA,NA
dreamborn muse,1,NA,NA
dreamscape artist,3,NA,NA
dreamstone hedron,3,NA,NA
dreamwinder,NA,NA,TRUE
dreg mangler,3,1,NA
drift of phantasms,3,NA,NA
drifting meadow,0,NA,NA
drogskol captain,2,NA,NA
drogskol cavalry,2,NA,NA
drogskol reaver,1,NA,NA
dromoka captain,2,NA,NA
dromoka dunecaster,NA,NA,TRUE
dromoka monument,1,NA,NA
dromoka warrior,NA,NA,TRUE
"dromoka, the eternal",2,NA,NA
dromoka's command,1,NA,NA
dromoka's gift,NA,NA,TRUE
drooling groodion,3,NA,NA
drove of elves,1,NA,NA
drown in filth,6,NA,NA
drown in sorrow,3,NA,NA
drowner initiate,2,NA,NA
drowner of hope,1,NA,NA
drownyard explorers,NA,NA,TRUE
drownyard temple,1,NA,NA
drudge beetle,NA,NA,TRUE
drudge skeletons,NA,NA,TRUE
druid lyrist,1,NA,NA
druidic satchel,0,NA,NA
druid's deliverance,3,NA,NA
drumhunter,1,NA,NA
drunau corpse trawler,NA,NA,TRUE
dryad's caress,NA,NA,TRUE
dual shot,NA,NA,TRUE
dulcet sirens,2,NA,NA
duneblast,NA,1,NA
dungeon geists,1,NA,NA
duress,0,NA,NA
durkwood boars,NA,NA,TRUE
dusk imp,NA,NA,TRUE
duskdale wurm,NA,NA,TRUE
duskhunter bat,NA,NA,TRUE
duskmantle guildmage,1,NA,NA
duskmantle prowler,NA,NA,TRUE
"duskmantle, house of shadow",4,NA,NA
duskwalker,NA,NA,TRUE
duskwatch recruiter,1,NA,NA
dust stalker,1,NA,NA
dutiful attendant,2,NA,NA
dutiful return,4,NA,NA
dutiful thrull,4,NA,NA
dwarven ruins,1,NA,NA
dwarven scorcher,NA,NA,TRUE
dwarven warriors,NA,NA,TRUE
dwynen's elite,3,NA,NA
dynacharge,4,NA,NA
dynavolt tower,0,NA,NA
eager cadet,NA,NA,TRUE
eagle of the watch,NA,1,TRUE
early harvest,1,NA,NA
earth elemental,NA,NA,TRUE
earthen arms,3,NA,NA
eater of hope,2,NA,NA
echo mage,2,NA,NA
echo tracer,4,NA,NA
echoes of the kin tree,2,NA,NA
eddytrail hawk,NA,NA,TRUE
"edric, spymaster of trest",1,NA,NA
efreet weaponmaster,NA,NA,TRUE
ego erasure,NA,NA,TRUE
eidolon of blossoms,2,NA,NA
eidolon of countless battles,2,NA,NA
eidolon of rhetoric,3,NA,NA
eidolon of the great revel,1,NA,NA
ekundu griffin,NA,NA,TRUE
elderscale wurm,1,NA,NA
eldrazi aggressor,NA,NA,TRUE
eldrazi devastator,4,NA,NA
eldrazi skyspawner,4,NA,NA
electrickery,4,NA,NA
electrolyze,1,NA,NA
elemental bond,1,NA,NA
elemental uprising,NA,NA,TRUE
elgaud inquisitor,NA,NA,TRUE
elgaud shieldmate,2,NA,NA
elite arcanist,1,NA,NA
elite inquisitor,1,NA,NA
elite scaleguard,3,NA,NA
elite skirmisher,NA,NA,TRUE
elixir of immortality,2,NA,NA
elusive krasis,1,NA,NA
elusive spellfist,NA,NA,TRUE
elves of deep shadow,1,NA,NA
elvish guidance,1,NA,NA
elvish mystic,8,NA,NA
elvish piper,1,NA,NA
elvish skysweeper,1,NA,NA
elvish visionary,5,NA,NA
embargo,1,NA,NA
ember beast,NA,NA,TRUE
ember shot,NA,NA,TRUE
ember swallower,1,NA,NA
ember-eye wolf,NA,NA,TRUE
embermaw hellion,1,NA,NA
embodiment of spring,5,NA,NA
embolden,NA,NA,TRUE
embraal gear-smasher,NA,NA,TRUE
emerald medallion,1,NA,NA
emeria angel,1,NA,NA
emeria shepherd,3,NA,NA
emissary of the sleepless,NA,NA,TRUE
emmara tandris,1,NA,NA
empyreal voyager,1,NA,NA
"emrakul, the promised end",1,NA,NA
encase in ice,NA,NA,TRUE
enchanted evening,1,NA,NA
enchantress's presence,1,NA,NA
encircling fissure,1,NA,NA
encroaching wastes,2,NA,NA
encrust,5,NA,NA
endangered armodon,NA,NA,TRUE
endbringer,2,NA,NA
endemic plague,1,NA,NA
endless obedience,1,NA,NA
endless one,3,NA,NA
endless ranks of the dead,4,NA,NA
"endrek sahr, master breeder",1,NA,NA
enduring renewal,1,NA,NA
enduring scalelord,3,NA,NA
enduring victory,NA,NA,TRUE
energy flux,2,NA,NA
engulf the shore,0,NA,NA
enhanced awareness,NA,NA,TRUE
enlarge,4,NA,NA
enlightened ascetic,5,NA,NA
enrage,1,NA,NA
enshrouding mist,NA,NA,TRUE
ensoul artifact,1,NA,NA
enter the infinite,0,NA,NA
enthralling victor,2,NA,NA
"ephara, god of the polis",1,NA,NA
ephara's enlightenment,2,NA,NA
ephara's radiance,NA,NA,TRUE
ephara's warden,NA,NA,TRUE
ephemeral shields,5,NA,NA
epic confrontation,4,NA,NA
epic experiment,1,NA,NA
epiphany at the drownyard,1,NA,NA
epiphany storm,4,NA,NA
equestrian skill,NA,NA,TRUE
era of innovation,1,NA,NA
erase,6,NA,NA
erdwal illuminator,1,NA,NA
erdwal ripper,4,NA,NA
erebos's emissary,NA,NA,TRUE
erg raiders,NA,NA,TRUE
esperzoa,0,NA,NA
essence drain,NA,NA,TRUE
essence flux,1,NA,NA
essence harvest,3,NA,NA
essence scatter,0,NA,NA
essence warden,1,NA,NA
eternal thirst,4,NA,NA
eternal warrior,1,NA,NA
eternity snare,NA,NA,TRUE
eternity vessel,1,NA,NA
ethercaste knight,1,NA,NA
ethereal ambush,5,NA,NA
ethereal armor,3,NA,NA
ethereal guidance,NA,NA,TRUE
evacuation,1,NA,NA
evangel of heliod,4,NA,NA
everflame eidolon,2,NA,NA
everflowing chalice,1,NA,NA
evil presence,3,NA,NA
evolution charm,1,NA,NA
evolving wilds,0,NA,NA
"exava, rakdos blood witch",1,NA,NA
exclude,1,NA,NA
excoriate,NA,NA,TRUE
executioner's hood,3,NA,NA
executioner's swing,3,NA,NA
exert influence,NA,NA,TRUE
expedite,1,NA,NA
expedition map,2,NA,NA
expedition raptor,NA,NA,TRUE
expendable troops,NA,NA,TRUE
experimental aviator,1,NA,NA
exploration,1,NA,NA
explore,3,NA,NA
explosive apparatus,0,NA,TRUE
explosive impact,NA,NA,TRUE
explosive vegetation,6,NA,NA
expose evil,NA,NA,TRUE
exquisite archangel,1,NA,NA
exquisite firecraft,1,NA,NA
extinguish all hope,0,NA,NA
extraplanar lens,0,NA,NA
eye gouge,NA,NA,TRUE
eye of nowhere,1,NA,NA
eye of the storm,0,NA,NA
eye spy,NA,NA,TRUE
eyeblight assassin,NA,NA,TRUE
eyeless watcher,4,NA,NA
eyes in the skies,4,NA,NA
fabled hero,3,NA,NA
fabricate,1,NA,NA
fade into antiquity,4,NA,NA
faerie conclave,1,NA,NA
faerie impostor,1,NA,NA
faerie invaders,NA,NA,TRUE
faerie macabre,2,NA,NA
faerie miscreant,4,NA,NA
faerie squadron,NA,NA,TRUE
faithless looting,3,NA,NA
faith's shield,2,NA,NA
falkenrath exterminator,1,NA,NA
falkenrath noble,2,NA,NA
falkenrath torturer,NA,NA,TRUE
fall of the hammer,4,NA,NA
fallen angel,2,NA,NA
fallen cleric,NA,NA,TRUE
fanatic of mogis,4,NA,NA
fanatic of xenagos,2,NA,NA
fanatical devotion,1,NA,NA
far // away,3,NA,NA
farbog boneflinger,NA,NA,TRUE
farbog explorer,NA,NA,TRUE
farbog revenant,NA,NA,TRUE
farhaven elf,1,NA,NA
farseek,8,NA,NA
fascination,3,NA,NA
fatal fumes,NA,NA,TRUE
fate foretold,4,NA,NA
fate forgotten,5,NA,NA
fate unraveler,1,NA,NA
fated conflagration,1,1,NA
fated infatuation,2,NA,NA
fated intervention,1,NA,NA
fated retribution,1,NA,NA
fated return,0,NA,NA
fathom feeder,1,NA,NA
fathom seer,2,NA,NA
favor of the woods,NA,NA,TRUE
favorable winds,1,NA,NA
favored hoplite,4,NA,NA
fear,NA,NA,TRUE
fearsome temper,NA,NA,TRUE
feast of dreams,NA,NA,TRUE
feast of worms,1,NA,NA
feast on the fallen,3,NA,NA
feat of resistance,0,NA,NA
fecundity,1,NA,NA
feed the clan,4,NA,NA
feed the pack,1,NA,NA
feedback,NA,NA,TRUE
feeding frenzy,1,NA,NA
feeling of dread,NA,NA,TRUE
felhide brawler,NA,NA,TRUE
felhide minotaur,NA,NA,TRUE
felhide petrifier,3,NA,NA
felhide spiritbinder,1,NA,NA
felidar cub,3,1,NA
felidar sovereign,1,NA,NA
femeref enchantress,1,NA,NA
fencer clique,NA,NA,TRUE
fencing ace,4,NA,NA
feral animist,3,NA,NA
feral incarnation,3,NA,NA
feral invocation,NA,NA,TRUE
feral krushok,NA,NA,TRUE
feral ridgewolf,1,NA,NA
fertile ground,1,NA,NA
fertile thicket,7,NA,NA
festergloom,2,NA,NA
festering goblin,1,NA,NA
festering newt,4,1,NA
fetid imp,NA,NA,TRUE
fiend hunter,3,NA,NA
fiend of the shadows,1,NA,NA
fierce invocation,NA,NA,TRUE
fiery conclusion,1,NA,NA
fiery impulse,5,NA,NA
fiery temper,3,NA,NA
filigree angel,1,NA,NA
filigree crawler,NA,NA,TRUE
filthy cur,NA,NA,TRUE
fire elemental,NA,NA,TRUE
fireball,3,NA,NA
firebreathing,NA,NA,TRUE
firefiend elemental,NA,NA,TRUE
firehoof cavalry,NA,NA,TRUE
firemane avenger,2,NA,NA
firemind's foresight,1,NA,NA
fires of undeath,NA,NA,TRUE
fires of yavimaya,2,NA,NA
fireshrieker,1,NA,NA
firespout,1,NA,NA
firewing phoenix,1,NA,NA
first response,2,NA,NA
fissure,1,NA,NA
fissure vent,1,NA,NA
flame javelin,1,NA,NA
flame slash,1,NA,NA
flame spirit,NA,NA,TRUE
flame-kin zealot,1,NA,NA
flames of the firebrand,4,NA,NA
flamespeaker adept,NA,NA,TRUE
flamespeaker's will,NA,NA,TRUE
flamewright,1,NA,NA
flaming sword,1,NA,NA
flare,1,NA,NA
flash of insight,2,NA,NA
flashfires,2,1,NA
flatten,NA,NA,TRUE
flay,NA,NA,TRUE
flayed nim,NA,NA,TRUE
flayer drone,1,NA,NA
fleetfeather cockatrice,3,NA,NA
fleetfeather sandals,4,NA,NA
fleeting distraction,1,NA,NA
fleeting memories,2,NA,NA
flesh to dust,NA,NA,TRUE
fleshbag marauder,0,NA,NA
fleshmad steed,NA,NA,TRUE
fleshpulper giant,NA,NA,TRUE
flight,NA,NA,TRUE
fling,3,NA,NA
flitterstep eidolon,3,NA,NA
floating shield,NA,NA,TRUE
flood,1,NA,NA
flooded shoreline,1,NA,NA
flow of ideas,2,NA,NA
flowstone armor,NA,NA,TRUE
flowstone crusher,NA,NA,TRUE
flowstone wall,NA,NA,TRUE
flurry of horns,4,NA,NA
flux,2,NA,NA
fluxcharger,4,NA,NA
flying crane technique,1,NA,NA
fodder launch,1,NA,NA
foe-razer regent,1,NA,NA
fog,6,NA,NA
fog bank,2,NA,NA
folk medicine,NA,NA,TRUE
font of fertility,8,NA,NA
font of fortunes,3,NA,NA
font of ire,5,NA,NA
font of mythos,1,NA,NA
font of return,NA,NA,TRUE
font of vigor,2,NA,NA
fool's demise,2,NA,NA
forbidden alchemy,1,NA,NA
force away,4,NA,NA
force spike,2,NA,NA
forced adaptation,3,NA,NA
forced fruition,1,NA,NA
forced worship,1,NA,NA
forerunner of slaughter,3,NA,NA
forge devil,NA,NA,TRUE
forgeborn oreads,3,NA,NA
forgestoker dragon,1,NA,NA
forgotten cave,1,NA,NA
forgotten creation,1,NA,NA
fork in the road,2,NA,NA
forlorn pseudamma,3,NA,NA
formless nurturing,NA,NA,TRUE
forsaken drifters,NA,NA,TRUE
forsaken sanctuary,2,NA,NA
fortified area,1,NA,NA
fortified rampart,NA,NA,TRUE
fortify,NA,NA,TRUE
fortress cyclops,3,NA,NA
foul orchard,1,NA,NA
foul renewal,1,NA,NA
foul-tongue invocation,1,NA,NA
foul-tongue shriek,4,NA,NA
foundry assembler,NA,NA,TRUE
foundry champion,1,NA,NA
foundry of the consuls,3,NA,NA
foundry screecher,NA,NA,TRUE
foundry street denizen,4,NA,NA
foxfire,NA,NA,TRUE
frenzied goblin,3,NA,NA
frenzied tilling,5,NA,NA
fresh meat,1,NA,NA
friendly fire,NA,NA,TRUE
frightshroud courier,NA,NA,TRUE
frilled oculus,NA,NA,TRUE
from beyond,5,NA,NA
from the ashes,1,NA,NA
frontier bivouac,5,NA,NA
frontier mastodon,NA,NA,TRUE
frontier siege,3,NA,NA
frontline strategist,4,NA,NA
frost breath,NA,NA,TRUE
frost lynx,4,NA,NA
frost titan,2,NA,NA
frost walker,NA,NA,TRUE
frozen shade,NA,NA,TRUE
fruit of the first tree,1,NA,NA
fugitive wizard,NA,NA,TRUE
funeral pyre,NA,NA,TRUE
fungal sprouting,2,NA,NA
furnace scamp,NA,NA,TRUE
furnace whelp,1,NA,NA
furor of the bitten,2,NA,NA
furtive homunculus,NA,NA,TRUE
future sight,4,NA,NA
fyndhorn brownie,NA,NA,TRUE
fyndhorn elder,1,NA,NA
gaea's herald,1,NA,NA
gaea's revenge,2,NA,NA
gaea's touch,1,NA,NA
"gahiji, honored one",0,NA,NA
gainsay,4,NA,NA
galerider sliver,1,NA,NA
gallows warden,1,NA,NA
galvanic juggernaut,NA,NA,TRUE
gang of devils,NA,NA,TRUE
gargoyle castle,1,NA,NA
gargoyle sentinel,NA,NA,TRUE
"garruk, apex predator",1,NA,NA
garruk's companion,3,NA,NA
garruk's horde,1,NA,NA
garruk's packleader,1,NA,NA
gaseous form,2,NA,NA
gate smasher,NA,NA,TRUE
gatecreeper vine,4,NA,NA
gather courage,NA,NA,TRUE
gather the pack,3,NA,NA
gather the townsfolk,4,NA,NA
gatstaf arsonists,3,NA,NA
gavony ironwright,1,NA,NA
gavony township,1,NA,NA
gaze of granite,1,NA,NA
gaze of the gorgon,2,NA,NA
gearseeker serpent,1,NA,NA
geist of the moors,NA,NA,TRUE
geist snatch,3,NA,NA
geist trappers,NA,NA,TRUE
geistflame,NA,NA,TRUE
gem of becoming,1,NA,NA
gempalm avenger,2,NA,NA
gempalm strider,1,NA,NA
generator servant,3,NA,NA
genesis hydra,1,NA,NA
geyserfield stalker,NA,NA,TRUE
ghazban ogre,NA,NA,TRUE
ghirapur aether grid,NA,NA,TRUE
ghirapur gearcrafter,3,NA,NA
ghitu slinger,1,NA,NA
ghor-clan rampager,2,NA,NA
ghost council of orzhova,1,NA,NA
ghost quarter,0,NA,NA
ghostblade eidolon,3,NA,NA
ghostfire blade,2,NA,NA
ghosthelm courier,1,NA,NA
ghostly prison,2,NA,NA
ghostly sentinel,NA,NA,TRUE
ghostly wings,4,NA,NA
ghoulcaller's accomplice,NA,NA,TRUE
ghoulcaller's bell,1,NA,NA
ghoulcaller's chant,3,NA,NA
ghoulflesh,NA,NA,TRUE
ghoulraiser,0,NA,NA
ghoulsteed,1,NA,NA
ghoultree,1,NA,NA
giant cockroach,NA,NA,TRUE
giant growth,6,NA,NA
giant mantis,NA,NA,TRUE
giant octopus,NA,NA,TRUE
giant scorpion,NA,NA,TRUE
giant spider,NA,NA,TRUE
giant warthog,NA,NA,TRUE
giantbaiting,NA,NA,TRUE
gibbering fiend,NA,NA,TRUE
gideon's phalanx,1,NA,NA
gideon's reproach,NA,NA,TRUE
gift of estates,1,NA,NA
gift of immortality,1,NA,NA
gift of orzhova,1,NA,NA
gild,0,NA,NA
gisa and geralf,1,NA,NA
gisa's bidding,2,NA,NA
give // take,1,NA,NA
glacial crasher,NA,NA,TRUE
glacial fortress,1,NA,NA
glacial stalker,NA,NA,TRUE
glacial wall,1,NA,NA
glade gnarr,NA,NA,TRUE
glade watcher,NA,NA,TRUE
gladecover scout,4,NA,NA
gladehart cavalry,1,NA,NA
glare of heresy,4,NA,NA
glaring aegis,NA,NA,TRUE
glassblower's puzzleknot,3,NA,NA
glassdust hulk,2,NA,NA
glasses of urza,2,NA,NA
gleam of authority,1,NA,NA
gleam of battle,4,NA,NA
glen elendra liege,1,NA,NA
glimpse the future,2,NA,NA
glimpse the sun god,NA,NA,TRUE
glint,NA,NA,TRUE
glint-nest crane,0,NA,NA
gloom surgeon,1,NA,NA
gloomwidow,NA,NA,TRUE
glorious charge,NA,NA,TRUE
glory seeker,NA,NA,TRUE
gluttonous cyclops,NA,NA,TRUE
gluttonous zombie,1,NA,TRUE
gnarled scarhide,NA,NA,TRUE
gnarlid pack,NA,NA,TRUE
gnarlroot trapper,4,NA,NA
gnawing zombie,1,NA,NA
gobbling ooze,NA,NA,TRUE
gobhobbler rats,1,NA,NA
goblin arsonist,3,NA,NA
goblin assassin,1,NA,NA
goblin battle jester,1,NA,NA
goblin boom keg,NA,NA,TRUE
goblin brigand,NA,NA,TRUE
goblin digging team,1,NA,NA
goblin diplomats,1,NA,NA
goblin electromancer,5,NA,NA
goblin flectomancer,1,NA,NA
goblin freerunner,NA,NA,TRUE
goblin glider,NA,NA,TRUE
goblin glory chaser,4,NA,NA
goblin heelcutter,4,NA,NA
goblin hero,NA,NA,TRUE
goblin kaboomist,2,NA,NA
goblin lookout,1,NA,NA
goblin rabblemaster,1,NA,NA
goblin raider,NA,NA,TRUE
goblin rally,3,NA,NA
goblin roughrider,NA,NA,TRUE
goblin shortcutter,4,NA,NA
goblin test pilot,2,NA,NA
goblin war paint,4,NA,NA
goblin warchief,1,NA,NA
goblinslide,3,NA,NA
god-favored general,4,NA,NA
gods willing,2,NA,NA
godsend,1,NA,NA
golden hind,5,NA,NA
goldenhide ox,NA,NA,TRUE
gold-forged sentinel,NA,NA,TRUE
goldnight castigator,1,NA,NA
goldnight commander,1,NA,NA
goldnight redeemer,2,NA,NA
golgari cluestone,5,NA,NA
golgari decoy,1,NA,NA
golgari germination,1,NA,NA
golgari guildgate,16,NA,NA
golgari guildmage,2,NA,NA
golgari keyrune,3,NA,NA
golgari longlegs,NA,NA,TRUE
golgari rot farm,2,NA,NA
golgari rotwurm,2,NA,NA
golgari signet,1,NA,NA
gone missing,NA,NA,TRUE
gore swine,NA,NA,TRUE
gore-house chainwalker,4,NA,NA
goretusk firebeast,NA,NA,TRUE
gorger wurm,NA,NA,TRUE
gorgon's head,3,NA,NA
gorilla chieftain,NA,NA,TRUE
graceblade artisan,3,NA,NA
graceful adept,1,NA,NA
grafdigger's cage,1,NA,NA
grand architect,1,NA,NA
grapeshot catapult,NA,NA,TRUE
grasp of darkness,1,NA,NA
grasp of the hieromancer,NA,NA,TRUE
grassland crusader,NA,NA,TRUE
grave betrayal,1,NA,NA
grave birthing,4,NA,NA
grave bramble,1,NA,NA
grave sifter,1,NA,NA
gravedigger,0,NA,NA
gravegouger,NA,NA,TRUE
gravepurge,7,NA,NA
graverobber spider,1,NA,NA
gravetiller wurm,NA,NA,TRUE
gravitational shift,1,NA,NA
gray merchant of asphodel,3,NA,NA
gray ogre,NA,NA,TRUE
graypelt refuge,1,NA,NA
grazing gladehart,2,NA,NA
great hart,NA,NA,TRUE
great teacher's decree,NA,NA,TRUE
greater good,1,NA,NA
greater realm of preservation,NA,NA,TRUE
great-horn krushok,NA,NA,TRUE
greed,0,NA,NA
green mana battery,NA,NA,TRUE
greenside watcher,6,NA,NA
greenwarden of murasa,0,NA,NA
gremlin mine,NA,NA,TRUE
gridlock,NA,NA,TRUE
griffin dreamfinder,NA,NA,TRUE
griffin protector,NA,NA,TRUE
grim backwoods,1,NA,NA
grim contest,6,NA,NA
grim flowering,3,NA,NA
grim guardian,6,NA,NA
grim haruspex,0,NA,NA
grim return,1,NA,NA
